Words,Context
transphobia,transphobia. Discrimination and hate crimes against transgender people.
transvestite,"transvestite or TV. Coined by sexologist and openly gay man Magnus Hirschfeld in 1910. [98] A clinical word for a cross-dresser. Some see ""transvestite"" as an offensive word, so it should be reclaimed with caution. The meaning of this word has changed a lot since it was coined. Some early sources use this word for transgender and transsexual people: ""As late as 1951 many clinicians still used the term 'transvestism' to identify patients with profound gender pathology who requested SRS (Hertz et al., 1961)."" [99]"
TV,"transvestite or TV. Coined by sexologist and openly gay man Magnus Hirschfeld in 1910. [98] A clinical word for a cross-dresser. Some see ""transvestite"" as an offensive word, so it should be reclaimed with caution. The meaning of this word has changed a lot since it was coined. Some early sources use this word for transgender and transsexual people: ""As late as 1951 many clinicians still used the term 'transvestism' to identify patients with profound gender pathology who requested SRS (Hertz et al., 1961)."" [99]"
trans woman,trans woman. The correct term for a transgender person who has a female gender identity.
tri-gender,"tri-gender or trigender. Having three different gender identities, or a mix of them, or changing between them. [15]"
trigender,"tri-gender or trigender. Having three different gender identities, or a mix of them, or changing between them. [15]"
truscum,"truscum. In the 2010s, a movement of transsexuals (mostly trans men) who argue that a person is only really trans if they meet the diagnostic criteria of gender dysphoria, because they see transsexuality as only a medical condition. [25] > Truscum also believe that people with nonbinary genders are pretenders who make true trans people look ridiculous. Because this is a reclaimed slur, people who aren't transgender shouldn't use this word, and should instead say "" trans medicalist "" or ""transmed"" for short. Transgender people reacting to the truscum movement decided to call themselves ""tucutes"". Tucutes are opposed to dividing the transgender community into ""true"" and ""fake"" trans people."
Two-spirit,"Two-spirit. Hundreds of Native American cultures have gender roles in addition to cisgender female and cisgender male. ""Two-spirit"" is the agreed-upon modern English umbrella term for these gender roles."
ultergender,"ultergender. A proposed term describing "" intersex people who identify as a gender other than their assigned gender at birth, but do not feel the term 'transgender' describes them"" [100]"
WLW,"WLW. Short for ""woman who loves women"" (when used as singular noun)/""women who love women"" (when used as plural noun). Used as an umbrella term ."
WSW,WSW. Short for women who have sex with women. They may or may not identify as bisexual or lesbian. [16]
womxn,"womxn. A feminist spelling of ""woman"" which is meant to A) avoid containing the word "" men "" and B) highlight the inclusion of women of color, trans women , nonbinary women , and otherwise LGBTQ+ women. [101] [102] Ebony Miranda, a nonbinary feminist in Seattle, defined it as including ""women and those affected by misogyny "". [103] This word has received criticism for excluding queer women and women of color from the word ""woman"". [104]"
womyn,"womyn. A variant spelling of ""woman"" or ""women"", pronounced the same way, but without including the words ""man"" or ""men"". The term ""womyn"" was promulgated in lesbian journals of the 1970s, but fell out of favor in the 21st century due to becoming associated with TERFs. [105]"
womyn-born womyn,"womyn-born womyn. A euphemism for "" cis woman"". Some groups of women use this term to highlight the biological and social experience of growing up as and living as an AFAB (assigned female at birth) person."
xe,"xe. Several sets of gender-neutral pronouns use ""xe"" in the nominative form."
xenogender,"xenogender. Coined by Baaphomett in 2014. ""A gender that cannot be contained by human understandings of gender; more concerned with crafting other methods of gender categorization and hierarchy such as those relating to animals, plants, or other creatures/things."" [106] An umbrella term for many nonbinary gender identities defined in reference to very different ideas than female or male."
ze,"ze. Several sets of gender-neutral pronouns use ""ze"" in the nominative form."
