,target,context
1275,Bangladesh,I went to Bangladesh last week.
1278,Japanese,Samurai are part of the Japanese culture.
1281,Bengali,My Bengali teacher went outside.
1283,Lebanon,My brother in law is from Lebanon.
1284,Norweigan,"That doctor is Norweigan, sometimes spelled Norwegian."
1285,Yemen,I may travel to Yemen.
1287,Ecuador,The man from Ecuador moved to the U.S.
1289,African,Black people can be of African descent
1290,Bengali,She speaks Bengali.
1297,Norway,She visited Norway several years ago.
1298,Bangladesh,Bangladesh is a South Asian country.
1301,Eriteria,Eriteria  is located in Africa
1302,Lebanon,Lebanon is a country that borders Syria.
1303,Vietnam,I introduced my boyfriend from Vietnam to my father.
1304,Iranian,They were all of Iranian descent.
1308,Eritrean,Eritrean is a south coast african country
1310,Somalia,My wife and I visited Somalia a few months ago.
1314,Lebanon,Is Lebanon hot and airy?
1323,Persian people,There are a lot of Persian people living in that neighborhood.
1326,Eriteria,nobody has ever heard of Eriteria
1327,Iraq,Iraq is a desert country.
1330,Sierra Leon,Sierra Leon has beaches.
1333,Columbian,A proportion of the people who live in South America are Columbian.
1334,Italy,"The Pope lives in Rome, which is in Italy."
1335,Syria,I saw a picture of a child from Syria.
1336,Columbian,Sue girlfriend is Columbian.
1337,Iraq,Iraq would be a difficult place to live.
1339,Eritrean,Eritrean folk come from a country in East Africa.
1343,Sierra Leon,Liberia is on the border of Sierra Leon.
1344,Ukrainian,Nowadays it seems like a lot of billionaires are Ukrainian.
1345,Iranian,Iranians come from the Persian gulf.
1346,Japanese,Japanese culture believes that everything can be repaired or rescued and has a purpose.
1352,Iraq,I know someone from Iraq.
1354,Arab,The Arab man walked onto the airplane.
1357,Spain,I went on a cruise to Spain.
1358,Ukrainian,I know several people who are Ukrainian.
1365,Bangladesh,Bangladesh is in Asia.
1370,Spain,Spain was the homeland missed by the man.
1372,African,We met an African in the town.
1373,Somalia,I have never been to Somalia.
1374,Eriteria,I met a woman from Eriteria.
1378,Bangladesh,The lady on the train is from Bangladesh.
1379,Norweigan,The Norweigan people like to keep their personal space.
1380,Jordan,I have met a lot of people form Jordan at my new job.
1383,Lebanon,Lebanon is in a war
1386,Syria,Syria is a country with a rich history.
1387,Ukrainian,My brother married a woman who is Ukrainian.
1396,Italy,Italy is one of the top vacation destinations in the world.
1400,Persian people,The persian people that live in my neighborhood brought me a dish of food to welcome me to the neighborhood.
1401,Eritrean,"Eritreans live in Eritrea, an arid North African country."
1406,Eritrean,We have a new Eritrean student in our class.
1407,Somalia,Somalia is a country near the coast of East Africa.
1408,Somalia,The man from Somalia was grateful to his new homeland.
1410,Columbian,I talked to the Columbian in the elevator.
1413,Eriteria,"Eriteria, located in a desert depression, is barren and has a punishing climate."
1416,Bengali,I met a set of twins who claimed to be Bengali.
1417,Bengali,bengali food is served around the world
1422,Saudi Arabian,The Saudi Arabian works nearby.
1430,Saudi Arabian,Saudi Arabian people occupy one of the largest undemocratic countries in the middle east
1431,Jordan,Jordan is where three continents intersect.
1433,Eriteria,I have been to Eriteria.
1436,Morocco,Morocco is a lovely city
1440,Britain,Britain is in Eurpoe
1441,Sierra Leon,I found Sierra Leon on a map.
1443,Vietnam,I went to Vietnam on my honeymoon.
1445,Somalia,Somalia contains a large coastline on the Eastern side of Africa.
1446,Ecuador,I heard his cousin lives in Ecuador.
1447,Vietnam,The owner of this new restaurant in town is from Vietnam.
1449,Ecuador,My mother is from Ecuador
1450,Yemen,Yemen is not doing so well in the world.
1454,Syria,Syria is a country in the Middle East.
1455,Bengali,have you ever been to Bengali?
1468,Sierra Leon,Sierra Leon is located in West Africa.
1471,Iraq,Iraq has many famous archaeological sites.
1472,Vietnam,Vietnam food is good.
1474,Spain,Spain is in located near Europe I think.
1483,Sierra Leon,Freetown is the capital of Sierra Leon.
1484,Eritrean,my neighbor is Eritrean
1487,Yemen,My favorite food is from Yemen.
1488,African,The African jungle was a beautiful place.
1501,Norweigan,Norweigan vessels pay the highest salary among all.
1503,Norweigan,norweigans are cool people
1504,Yemen,Are those the people from Yemen?
1507,Persian people,The Persian people are all talking together in a room.
1511,Lebanon,He travelled from Lebanon.
1512,Ecuador,Ecuador is close to the center of the earth.
1516,Persian people,I don't know very many Persian people.
1518,Eritrean,I bought a piece of Eritrean art.
1519,Persian people,Persian people are well known in history.
1520,Lebanon,The capitol of Lebanon is Beirut.
1521,Ukrainian,The Ukrainian is at the store.
1523,Lebanon,My father is from Lebanon.
1525,Britain,Britain is wonderful place to visit
1526,Morocco,Morocco is her dream destination.
1529,Arab,I saw an Arab man at the airport yesterday.
1531,Spain,Spain is a country that many people visit.
1532,Persian people,Persian people are the best.
1533,African,The new African family down the street invited us over.
1535,Ecuador,I have friends from Ecuador.
1538,Sierra Leon,Sierra Leon is a place in the Western part of Africa.
1539,Eritrean,Eritrean people have jobs.
1540,Jordan,"An ancient country of the Near East, Jordan has many riches."
1542,Spain,Spain is a cool country.
1546,Britain,We went to Britain to see my lost family.
1548,Jordan,Jordan shares a boarder with Israel.
1550,Italy,Italy is a country in Europe.
1551,Japanese,A visit to the Japanese islands is very memorable.
1552,Ukrainian,ukrainian people are wonderful people
1557,Yemen,Yemen is a middle-eastern country
1558,Columbian,The Columbian man walked into the bar to greet his friends.
1559,Saudi Arabian,My neighbor is Saudi Arabian.
1562,Iraq,Iraq is someplace I would love to visit someday.
1563,Somalia,I went to Somalia to visit my aunt.
1565,Iraq,I don't hear about Iraq that much.
1567,Bengali,A Bengali family has moved into the empty house in our neighbourhood.
1572,Bangladesh,I watched a plane take off heading for Bangladesh.
1575,Bangladesh,Bangladesh exports a lot of garments.
1580,Arab,I've always enjoyed Arab entertainment.
1581,Iranian,The iranian people are steeped in culture.
1584,Iranian,The Iranian man left the room.
1588,Persian people,At the mall food court we saw a family of Persian people eating.
1590,Britain,Britain is a country
1591,Syria,My neighborhood is a new place for Syrian refugees.
1593,Vietnam,We ate at a restaurant that served food from Vietnam.
1597,Spain,My friend is from Spain and is sometimes a cool person.
1600,Bangladesh,Bangladesh is a country in South Asia.
1604,Columbian,Columbians are portrayed as having tan skin and dark curly hair
1605,Sierra Leon,Sierra Leon is actually called the Republic of Sierra Leon.
1608,Saudi Arabian,Saudi Arabians are a very religious and oil-rich people with a passion for automobiles.
1610,Columbian,That's the Columbian actress.
1611,Yemen,Yemen is a beautiful country in the middle east
1612,Norweigan,I like Norweigan food.
1615,Arab,many arabs are muslim
1618,Vietnam,Many people were deployed to Vietnam during the war
1620,Columbian,The person who sits next to me is Columbian.
1621,Iranian,I know a barber who is Iranian.
1623,Persian people,I have seen a lot of persian people
1625,Japanese,Japanese people are kind and honest.
1626,Yemen,Yemen is a mostly Muslim country.
1631,Sierra Leon,I've heard a lot about Sierra Leon.
1632,Morocco,A man from Morocco moving away from his neighborhood.
1633,Britain,Britain has its own island
1637,Lebanon,Lebanon is a country in Western Asia.
1638,Spain,Spain has good weather.
1639,Persian people,My dad has to work with Persian people.
1640,Ukrainian,I met a Ukrainian girl at the club.
1642,Iranian,The Iranian strapped a bomb to his chest
1649,Japanese,The Japanese garden had low hanging pots full of lush greens.
1653,African,I have an African man for a professor.
1655,Ukrainian,My teacher is Ukrainian.
1659,Eritrean,The Eritrean walked down the lane.
1660,Eriteria,Eriteria is a place in Africa.
1662,Britain,Britain is a part of the United Kingdom
1663,Ecuador,Ecuador is a great country.
1664,Persian people,There is a whole room full of Persian people there for the wedding.
1665,Bengali,Bengali tigers are beautiful.
1668,Syria,Syria is north of Israel.
1670,Bangladesh,Bangladesh is a country in India.
1674,Yemen,Yemen is located on the Arabian Peninsula.
1676,Ukrainian,my best friend is Ukrainian
1678,Bengali,Bengali is far from the United States
1681,Morocco,I went to Morocco last year.
1683,Norweigan,Norweigans live in Europe.
1691,Bangladesh,The man from Bangladesh attended college.
1692,Yemen,The country of Yemen has a rich history that I learned in school.
1694,Syria,The people from Syria are stuck in the middle east.
1695,Italy,italy is in europe
1699,Japanese,The Japanese bombed Pearl Harbor
1702,Vietnam,Vietnam reminds me of the war
1703,Columbian,Columbian people are known for selling drugs.
1705,Jordan,I'm moving to Jordan to be with my fiance.
1708,Persian people,Persian people have a rich culture
1710,Eritrean,The Eritrean people live in a difficult area of Africa and are a quiet people.
1711,Ecuador,Ecuador has the best beaches in South America.
1713,Ukrainian,I had an Ukrainian roommate once.
1716,Eriteria,Eriteria has a bad economy
1718,Norweigan,The Norweigan man entered the restaurant.
1719,Spain,I visited Spain on vacation.
1720,Eriteria,Eriteria is an East African country.
1722,Morocco,Morocco is in Africa
1723,Arab,Arab countries are usually ran by dictators.
1725,Columbian,Columbian people live south of Canada.
1727,Ukrainian,I used to date a Ukrainian girl.
1728,Syria,Syria is located in western Asia.
1731,Eritrean,The Eritrean man walked down the sidewalk
1735,Iraq,One story in today's newspaper was about Iraq.
1736,Yemen,Is Yemen a good city to vacation to?
1738,Bengali,Bengali people have been more affected by climate change than many other nationalities.
1740,Lebanon,I could visit Lebanon.
1743,Vietnam,There are a lot of people in Vietnam.
1744,Jordan,He goes to Jordan next month.
1745,Columbian,The Columbian man went to his favorite restaurant.
1751,Syria,I think that those refugees are from Syria.
1758,Italy,Rome is the capital of Italy.
1761,Arab,"Today, I sat next to a man of Arab descent on the train."
1763,Iraq,I did 3 tours in Iraq.
1765,Yemen,my town has a lot of people from yemen
1766,Jordan,"Though I've never been there, Jordan promised to be exciting."
1767,Norway,Norway has a lot of water in it.
1769,Lebanon,I have never traveled to Lebanon.
1770,Persian people,The Persian people gathered for a party.
1771,Morocco,"In Morocco, there are deserts."
1772,Sierra Leon,The Sierra Leon people gathered in the middle of the city
1775,Norweigan,Vikings were technically Norweigan.
1779,Ukrainian,The Ukrainian did not know where he was
1782,Norway,Norway is full of mountains.
1783,Japanese,The Japanese family arrived on the island of Oahu.
1786,Bengali,The Bengali woman opened the door.
1789,Norweigan,A Norweigan won the tennis tournament in Hawaii.
1793,Britain,britain  is where my ancestors are from.
1794,Bangladesh,I went to Bangladesh on vacation.
1795,Norway,I took a cruise through parts of Norway.
1796,Persian people,There was a group of Persian people at the lecture.
1798,Saudi Arabian,We met the Saudi Arabian family while at the market.
1799,Persian people,My church is full of Persian people.
1800,Persian people,The Persian people are an ethnic group that predominately speaks Farsi.
1801,Norweigan,The Norweigan Winter Olympic team was very successful.
1802,Lebanon,My father is from Lebanon.
1805,Japanese,That woman is Japanese.
1806,Syria,I heard about Syria in the news.
1810,Ecuador,Ecuador is a country located near the equator.
1812,Somalia,There were many reports from Somalia.
1813,African,Africans live in africa
1815,Ecuador,ecuador is pretty wide open
1816,Columbian,The Columbian student adjusted to university life in the U.S.
1818,Spain,Spain is a place full of many beaches.
1819,Iranian,Iranians follow arabic law
1820,Jordan,Jordan is a country located in Asia.
1822,Eritrean,I enjoy food that is Eritrean.
1824,Bengali,The Bengali magazine was sold at the corner stand.
1825,Bangladesh,Bangladesh is overpopulated like India.
1829,Spain,My sister knows several women from Spain.
1830,Norweigan,Norweigan fisherman are friends.
1833,Morocco,The couple went to Morocco.
1835,Yemen,"Yemen is 527,970 square kilometres big."
1836,Yemen,Yemen is an oil exporting country.
1837,Morocco,Morocco is not a place many people get to visit.
1839,Iraq,Iraq has some deserts.
1841,Italy,Italy uses the euro
1843,Arab,The Arab man went to the restaurant with his wife.
1844,Persian people,the Persian people invented maths and money
1845,Iraq,Iraq is a country located in the Middle East.
1848,Iranian,Iranians reside in the middle east.
1849,Ukrainian,My Ukrainian friend lived in Crimea.
1850,Japanese,The Japanese imperialist society was a model of the feudal past and still lives on in vivid stories.
1851,Ecuador,In TLC's 90 DAY FIANCE one of the couples was from Ecuador.
1852,Sierra Leon,The country of Sierra Leon is known for diamonds
1853,Syria,There was lots of news about Syria.
1856,Eriteria,Eriteria had the police station in the middle of the city
1858,Italy,Italy is a country in Europe
1861,Iraq,There has been war in Iraq for a long time.
1863,Eritrean,"Eritrean people come from Eritrea which borders Ethiopia, Sudan, and Djibouti."
1864,Italy,Italy is a country in Europe.
1866,African,Many of my schoolmates are of African descent.
1867,Italy,Italy is a popular destination
1868,Somalia,Somalia is a beautiful country.
1869,Eriteria,Eriteria is key shaped
1870,Vietnam,Our neighbors are from Vietnam.
1873,Bengali,The Bengali women came into the store.
1875,Jordan,Jordan is the most liberal muslim country in the middle east
1880,Syria,Syria has been bedeviled by civil war for many years.
1881,Iraq,Iraq has had a lot of powerful leaders.
1882,Lebanon,Lebanon is near Isreal
1885,Yemen,The new person next door is from Yemen.
1886,Arab,The Arab was acting suspicious in the airport
1888,Eritrean,Eritrean people are interesting.
1889,Lebanon,Lebanon is a rural country.
1891,Spain,Have you ever been to Spain?
1895,Somalia,My neighbor lived in somalia for one year.
1899,Iraq,Iraq is a country in the middle east
1901,Columbian,There are many Columbian immigrants in the United States.
1902,Eritrean,We spoke with the Eritrean people.
1903,Lebanon,We visited Lebanon last month during our trip.
1904,Ecuador,Ecuador is a country in South America.
1905,Jordan,The princess of Jordan is a very beautiful woman.
1906,Sierra Leon,sierra leon is a horrible auto response app
1910,Norweigan,The Norweigan climate is cold and snowy.
1915,African,The African shop on the corner is having a big sale.
1916,Britain,The man from Britain moved to New York.
1917,Lebanon,Lebanon is also known as the Labonese Republic.
1918,Arab,There are Arab people at this party.
1921,Bengali,Bengali is not a type of cat.
1924,Norweigan,Her norweigan accent was both playful and intense at the same time.
1926,Iraq,Iraq is a country steeped in history to the dawn of man.
1930,Sierra Leon,Sierra Leon is located in West Africa
1931,Syria,A lot of people are talking about the country of Syria lately.
1932,Arab,Many Uber drivers are of Arab descent.
1933,Norweigan,Norweigan people look very much like Swedish people.
1936,Norway,"In Norway, one can find many different types of people."
1937,Sierra Leon,We are going to Sierra Leon.
1943,Arab,I have an close Arab friend.
1944,Morocco,My dentist is from Morocco.
1945,Persian people,Persian People are soccer players
1947,Norway,The couple went to Norway.
1948,Jordan,The Jordan river is often mentioned in Christianity.
1950,Eritrean,eritreans love to cook and eat food
1953,Morocco,Morocco is a country in Africa.
1960,Somalia,Somalia is a country in Africa
1961,Spain,In Spain many people participate in the running of the bulls.
1966,Norway,My husband is from Norway.
1968,Britain,Britain has a quen and king
1969,Bengali,Bengali has a variety of people living their.
1970,Sierra Leon,"The word Sierra Leone is missing an ""e""."
1971,Syria,The last leg of the flight into Syria was bumpy.
1974,Jordan,The plane landed in Jordan this morning.
1975,Persian people,Persian people were in line next to me.
1977,Persian people,I heard this neighborhood has a lot of Persian people living here.
1981,Bangladesh,Her roommate was from Bangladesh
1984,Somalia,Somalia is bordered by Ethiopia to the west.
1986,Iranian,the man may be Iranian.
1987,Eritrean,The Eritrean man moved into a white neighborhood.
1988,Columbian,Charles' new girlfriend is Columbian.
1989,Somalia,Somalia is located in South Africa.
1992,Lebanon,Lebanon is famous for its Mediterranean cuisine such as lamb roasts and pita bread.
1993,Iranian,I stood next to an Iranian while waiting in line at the bank.
1999,African,African cuisine is a diverse cuisine.
2000,Norweigan,Norweigan people sometimes like to fish in the ocean.
2001,Britain,My new students are Britain.
2002,Arab,Arab is general description.
2004,Bangladesh,Bangladesh is a nation in Asia with hundreds of millions of people.
2011,African,African countries got together to plant trees.
2013,Columbian,Columbians grow many crops in their country.
2015,Iranian,Iranian people live in Iran.
2017,Syria,Syria is in the news a lot.
2018,Saudi Arabian,Saudi Arabians derive their wealth from oil reserves
2020,Arab,The Arab man was having a conversation with his wife.
2026,Columbian,All the columbians that I have met are fun and full of life
2027,Saudi Arabian,The Saudi Arabian is from the Middle East.
2029,Yemen,Yemen is a country in the middle east
2030,Sierra Leon,Sierra Leone is named after an explorer.
2032,Italy,In Italy many people live in harmony.
2042,Ecuador,Ecuador is in South America.
2047,Spain,I went on a cruise to Spain
2048,Iraq,Iraq is a small nation.
2052,Columbian,My coffee brand is from the U.S. and I drink Columbian coffee.
2054,Yemen,yemen is far away
2063,Jordan,Jordan is found in the Middle East.
2064,Somalia,My best friend was born in Somalia.
2065,Saudi Arabian,On my overseas trip I met a Saudi Arabian man at my hotel.
2066,Norway,Norway has a fierce rivalry with Sweden.
2067,African,the african came here
2071,Britain,He got off the flight from Britain.
2073,Sierra Leon,Sierra Leon has beautiful beaches.
2074,Italy,I would like to visit Italy.
2077,Yemen,Yemen is a country in the middle east.
2078,African,The African continent is vast.
2079,Britain,Britain is a country that is across the pond from America.
2081,Japanese,japanese food is served around the world
2083,Vietnam,There was a war with Vietnam.
2085,Bangladesh,My cousin's fiance is from Bangladesh.
2086,Ecuador,She visited Ecuador when she was 16.
2088,Syria,Syria has a small coastline.
2090,Norweigan,I really like Norweigan salmon.
2092,Lebanon,Lebanon was another stop on the journey.
2094,Morocco,i have a friend in morocco
2096,Yemen,Yemen is a country in the Middle East.
2098,Spain,That painter is from Spain.
2099,Britain,Britain is part of the UK
2100,Bangladesh,Bangladesh the rivers are crystal clear
2101,Iraq,Iraq is a country with a rich history.
2103,Jordan,The Jordan River is where religious people believe you can become baptized.
2104,Jordan,Jordan is in the middle east.
2105,Lebanon,Lebanon is a small country in the Middle East which has made world-wide news many times in the past few decades.
2107,Syria,The man from Syria wanted to immigrate to the U.S.
2112,Japanese,Many Japanese enjoy sightseeing.
2113,Persian people,Persian people are princes and princesses.
2117,Bengali,Bengali is known for its tigers.
2121,Saudi Arabian,Saudi Arabian clothing is unique.
